Fecha,DELEGACI‡N,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Asociaci¢n delictuosa,Delitos diversos_Robo en carretera,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Culposos por transito de veh°culos,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2001-04,COAHUILA,05,0,0,0,0,0,32,2,0,2,1,0,2,3,17,0,0,1,2,2,0,0,1,50
2001-04,COLIMA,06,0,0,1,0,3,9,3,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,9
2001-04,CHIAPAS,07,2,0,0,0,0,11,0,0,2,4,2,0,1,29,0,0,35,8,0,1,0,1,26
2001-04,CHIHUAHUA,08,0,7,1,5,0,94,1,0,4,3,5,0,0,109,0,0,6,1,0,0,0,0,24
2001-04,DISTRITO FEDERAL,09,0,0,0,0,2,43,3,16,8,285,0,4,6,146,0,0,16,1,27,4,7,7,222
2001-04,DURANGO,10,0,4,0,0,0,20,0,0,0,4,0,0,6,44,0,1,0,4,0,0,0,0,6
2001-04,GUANAJUATO,11,0,5,0,0,1,63,0,1,0,7,1,0,0,51,0,0,1,5,2,1,0,0,18
2001-04,GUERRERO,12,0,3,0,0,0,27,6,0,5,3,3,0,3,56,0,0,2,20,0,4,0,0,12
2001-04,HIDALGO,13,0,0,0,1,0,10,3,1,0,8,9,0,3,24,0,0,2,0,6,0,0,0,23
2001-04,JALISCO,14,2,4,1,4,0,130,18,1,5,44,1,1,0,112,0,3,0,2,0,1,0,2,35
2001-04,MêXICO,15,0,0,0,15,0,120,0,2,0,89,4,4,16,83,0,0,1,10,43,15,0,1,34
2001-04,MICHOACµN,16,0,0,0,0,0,59,1,0,2,4,1,0,3,59,0,0,0,6,1,0,0,0,32
2001-04,MORELOS,17,0,1,0,4,2,37,1,0,5,6,11,7,0,21,0,0,0,8,0,0,0,2,14
2001-04,NAYARIT,18,0,1,0,0,0,20,6,0,0,0,2,0,4,15,0,0,0,0,2,0,0,0,10
2001-04,NUEVO LE‡N,19,0,0,0,0,10,118,1,0,12,0,0,0,13,38,0,0,1,2,0,2,0,1,23
2001-04,OAXACA,20,1,4,0,6,1,19,1,0,0,1,3,0,2,40,0,0,10,12,1,1,0,0,24
2001-04,PUEBLA,21,0,0,0,0,0,7,0,0,0,12,16,0,0,35,0,1,4,7,16,2,0,2,35
2001-04,QUERêTARO,22,0,2,0,1,0,14,0,1,0,3,2,0,0,13,5,5,0,0,0,0,0,0,12
2001-04,QUINTANA ROO,23,0,2,0,5,0,18,3,0,0,14,0,0,0,5,0,0,1,1,0,0,0,2,12
2001-04,SAN LUIS POTOS÷,24,0,13,0,0,0,46,8,1,3,5,0,0,0,38,0,4,0,3,0,1,0,0,29
2001-04,SINALOA,25,7,6,1,2,0,53,3,2,0,9,6,0,0,45,1,0,3,1,0,2,0,0,36
2001-04,SONORA,26,2,29,8,15,2,140,16,0,41,10,2,0,0,63,0,0,9,3,0,2,0,1,46
2001-04,TABASCO,27,0,0,0,2,1,11,2,0,0,12,3,0,0,6,0,0,4,3,0,0,0,1,12
2001-04,TAMAULIPAS,28,1,3,1,1,1,36,8,0,21,3,0,1,9,82,0,1,16,3,5,0,0,0,70
2001-04,TLAXCALA,29,0,0,0,0,0,3,2,0,5,8,2,0,3,12,0,0,0,8,5,0,0,0,6
2001-04,VERACRUZ,30,1,2,0,0,2,32,0,0,6,41,3,7,15,46,0,0,10,10,0,9,0,1,14
2001-04,YUCATµN,31,0,0,0,0,0,8,0,2,2,7,1,0,0,4,0,0,0,3,5,1,0,1,6
2001-04,ZACATECAS,32,0,9,0,1,1,4,2,0,0,5,1,0,0,21,0,0,0,5,3,0,0,0,6
2001-05,AGUASCALIENTES,01,0,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,1,4,0,0,0,24
2001-05,BAJA CALIFORNIA,02,0,22,0,0,0,225,30,0,11,110,0,0,2,164,0,0,30,5,14,3,0,0,45
2001-05,BAJA CALIFORNIA SUR,03,0,0,0,0,0,24,1,0,0,16,4,0,0,9,0,0,0,1,0,0,0,0,21
2001-05,CAMPECHE,04,0,0,0,8,0,8,4,0,0,7,8,0,2,9,0,0,2,0,4,2,0,0,5
2001-05,COAHUILA,05,0,3,0,1,0,34,6,0,0,0,0,4,0,14,0,0,2,6,0,0,0,0,40
2001-05,COLIMA,06,0,1,0,1,1,2,11,0,0,0,1,1,0,16,0,0,0,0,0,0,0,0,6
2001-05,CHIAPAS,07,0,0,0,0,0,9,1,0,0,17,2,0,2,44,0,0,35,10,0,0,0,8,54
2001-05,CHIHUAHUA,08,1,18,1,4,0,139,1,0,6,7,0,0,0,101,0,0,2,3,0,0,0,0,19
2001-05,DISTRITO FEDERAL,09,0,1,0,2,0,35,1,31,19,456,0,26,45,170,0,0,10,5,28,8,20,10,242
2001-05,DURANGO,10,0,9,0,3,0,11,4,0,1,5,1,0,2,23,0,1,3,4,0,4,0,0,16
2001-05,GUANAJUATO,11,0,0,0,2,0,55,2,4,2,16,0,0,1,75,0,0,1,3,6,0,0,1,25
2001-05,GUERRERO,12,0,4,0,0,3,56,4,0,0,4,11,0,2,41,0,0,0,16,0,0,0,0,11
2001-05,HIDALGO,13,0,0,0,1,1,5,1,0,3,18,3,0,1,25,0,0,2,10,4,0,0,0,13
2001-05,JALISCO,14,3,1,0,4,1,141,10,0,8,36,4,6,1,122,0,4,0,4,3,0,0,0,44
